lucky_time,lucky_date,first_person,first_money,second_person,second_money,third_person,third_money,fourth_person,fourth_money,fifth_person,fifth_money,first_num,second_num,third_num,fourth_num,fifth_num,sixth_num,bonus_num,machine,manpower,P_GROUP,P_CATE,P_TITLE,P_WIDTH,P_HEIGHT,P_LINK,P_PAGE,
721,2016-09-24,8,2273767360,40,75792246,1607,1886553,84770,50000,1464353,5000,1,28,35,41,43,44,31,7,1,?,MOV,I AM DATAGOD,650,450,http://datagod.kr/ad_page/ad_excel_close.php,,
720,2016-09-17,14,1233770358,37,77805338,1778,1619122,88260,50000,1505233,5000,1,12,29,34,36,37,41,9,5,?,MOV,I AM DATAGOD,650,450,http://datagod.kr/ad_page/ad_excel_close.php,,
719,2016-09-10,9,1879581334,58,48609863,2020,1395729,99906,50000,1627784,5000,4,8,13,19,20,43,26,10,0,,,,0,0,,,
718,2016-09-03,17,926166464,64,41002162,2404,1091572,114614,50000,1595315,5000,4,11,20,23,32,39,40,7,10,,,,0,0,,,
717,2016-08-27,6,2702433688,47,57498590,1974,1369015,96836,50000,1567530,5000,2,11,19,25,28,32,44,1,5,,,,0,0,,,
716,2016-08-20,12,1358752157,35,77642981,1743,1559096,88628,50000,1469730,5000,2,6,13,16,29,30,21,12,0,,,,0,0,,,
715,2016-08-13,6,2605510438,61,42713286,1873,1391090,90747,50000,1503174,5000,2,7,27,33,41,44,10,4,2,,,,0,0,,,
714,2016-08-06,7,2085131733,46,52883776,2029,1198943,96576,50000,1551993,5000,1,7,22,33,37,40,20,3,4,,,,0,0,,,
713,2016-07-30,9,1714720917,50,51441628,1791,1436115,87920,50000,1470125,5000,2,5,15,18,19,23,44,6,3,,,,0,0,,,
712,2016-07-23,4,4034485125,47,57226740,1727,1557416,86066,50000,1449521,5000,17,20,30,31,33,45,19,3,1,,,,0,0,,,
711,2016-07-16,7,2277413358,44,60385961,1865,1424656,89898,50000,1465123,5000,11,15,24,35,37,45,42,4,3,,,,0,0,,,
710,2016-07-09,5,2895441150,57,42331011,1990,1212497,102058,50000,1627229,5000,3,4,9,24,25,33,10,1,4,,,,0,0,,,
709,2016-07-02,14,1165271625,44,61794708,1696,1603165,82305,50000,1385853,5000,10,18,30,36,39,44,32,12,2,,,,0,0,,,
708,2016-06-25,4,4099552219,52,52558362,1712,1596399,86091,50000,1446865,5000,2,10,16,19,34,45,1,3,1,,,,0,0,,,
707,2016-06-18,12,1322167313,74,35734252,2006,1318213,94281,50000,1507647,5000,2,12,19,24,39,44,35,6,6,,,,0,0,,,
706,2016-06-11,4,3831746063,51,50088184,2108,1211811,95376,50000,1531393,5000,3,4,6,10,28,30,37,3,1,,,,0,0,,,
705,2016-06-04,4,3987206532,49,54247708,1805,1472653,87931,50000,1453654,5000,1,6,17,22,28,45,23,3,1,,,,0,0,,,
